template,send_date,send_time,campaign,subject,preheader,promo_line,eyebrow,headline_1,headline_2,subhead,intro,cta_text,cta_url,secondary_text,secondary_url,hero_image,detail_image,detail_title,detail_body,section_label,section_count,point_1_title,point_1_body,point_2_title,point_2_body,point_3_title,point_3_body,swatches,band_1,band_2,band_3,product_1_image,product_1_title,product_1_price,product_1_url,product_1_note,product_2_image,product_2_title,product_2_price,product_2_url,product_2_note,product_3_image,product_3_title,product_3_price,product_3_url,product_3_note,product_4_image,product_4_title,product_4_price,product_4_url,product_4_note,product_5_image,product_5_title,product_5_price,product_5_url,product_5_note,product_6_image,product_6_title,product_6_price,product_6_url,product_6_note,product_7_image,product_7_title,product_7_price,product_7_url,product_7_note,product_8_image,product_8_title,product_8_price,product_8_url,product_8_note,product_9_image,product_9_title,product_9_price,product_9_url,product_9_note,product_1_badge,product_2_badge
Campaign Chapter,2026-09-16,10:00,Back to the Grind,Chapter three: back in the studio,"Where the series has been heading — the floor, and what holds on it.",Free Shipping on All Orders Over $150 — US & Worldwide,Back To… · Chapter Three,Back to,the Grind.,"Suede soles, sealed boxes, real rehearsal","Two chapters of getting through the day and getting out of the house. This one is the reason for the other two — the studio floor, where the sole matters more than the silhouette.",Shop the Edit,https://burjushoes.com/collections/advanced-guide-to-heels-dance,In the Edit,https://burjushoes.com/collections/advanced-guide-to-heels-dance,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierralynn-black-suede-lace-up-bootie-1_e6990d06-3227-46ce-a7cd-4683fc2d71ff.jpg?v=1713711139,,,,Chapter Three,06,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierralynn-black-suede-lace-up-bootie-1_e6990d06-3227-46ce-a7cd-4683fc2d71ff.jpg?v=1713711139,Sierralynn — Black Vegan Suede,$179.00,https://burjushoes.com/products/sierralynn-black-vegan-suede-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Shabina-black-sock-ankle-boot-1__51849_76fe3416-a3c9-43ef-9032-c5dc8260101a.jpg?v=1718130136,Shabina — Black Lycra,$179.00,https://burjushoes.com/products/shabina-black-lycra-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Xiomara-black-mesh-ankle-bootie-1__56362_569ba94b-f51a-42c6-9448-ab6936c84dee.jpg?v=1776302499,Xiomara — Black Vegan Leather,$179.00,https://burjushoes.com/products/xiomara-black-vegan-leather-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Tempest-black-mesh-ankle-boot-1_aa807d46-d3b4-4a66-82d5-7abbdd74830a.jpg?v=1718130358,Tempest — Black Vegan Leather,$179.00,https://burjushoes.com/products/tempest-black-vegan-leather-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Jezabel-black-net-lace-up-bootie-1_d9328a33-7695-4d7e-b17c-ae8e43b196cb.jpg?v=1713449408,Jezabel — Black Vegan Leather,$179.00,https://burjushoes.com/products/jezabel-black-vegan-leather-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Elliray-platform-short-ankle-boot-black-1_eb14a441-5951-42d9-bd78-6a561191f5bf.jpg?v=1717011052,Elliray — Black Vegan Leather,$179.00,https://burjushoes.com/products/elliray-black-vegan-leather-street-sole,,,,,,,,,,,,,,,,,,
Category Lookbook,2026-09-18,10:00,Fall Boot Pivot,The week the sandals go away,Boots take over. Here is where to start.,Free Shipping on All Orders Over $150 — US & Worldwide,The Pivot,"Sandals Out,",Boots In.,,"Every year there is one week where the whole catalogue turns over. This is it. If you own one pair of boots this season, these are the two arguments for which one.",Shop All Boots,https://burjushoes.com/collections/boots,,,,,,,Every Colourway,06 styles,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierralynn-black-suede-lace-up-bootie-1_e6990d06-3227-46ce-a7cd-4683fc2d71ff.jpg?v=1713711139,Sierralynn — Black Vegan Suede,$179.00,https://burjushoes.com/products/sierralynn-black-vegan-suede-street-sole,"Suede upper, lace-up shaft. The one that survives a full season of rehearsal.",https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Marley-open-toe-lace-up-ankle-boot-burgundy-1.jpg?v=1776302571,Marley — Burgundy Vegan Patent,$179.00,https://burjushoes.com/products/marley-burgundy-vegan-patent-street-sole,Open toe on a lace-up boot — the pair that carries into evening.,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Khadija-black-vegan-pointed-toe-boot-1__39792.jpg?v=1749155843,Khadija — Black Vegan Suede,$107.40,https://burjushoes.com/products/khadija-black-vegan-suede,Pointed toe · Black vegan suede,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Elliray-platform-short-ankle-boot-black-1_eb14a441-5951-42d9-bd78-6a561191f5bf.jpg?v=1717011052,Elliray — Black Vegan Leather,$179.00,https://burjushoes.com/products/elliray-black-vegan-leather-street-sole,Platform,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Aadijay-platform-ankle-boot-black-1__47039.jpg?v=1716813858,Aadijay — Black Vegan Leather,$179.00,https://burjushoes.com/products/aadijay-black-vegan-leather-street-sole,Platform,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Tempest-black-mesh-ankle-boot-1_aa807d46-d3b4-4a66-82d5-7abbdd74830a.jpg?v=1718130358,Tempest — Black Vegan Leather,$179.00,https://burjushoes.com/products/tempest-black-vegan-leather-street-sole,Mesh,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Jezabel-black-net-lace-up-bootie-1_d9328a33-7695-4d7e-b17c-ae8e43b196cb.jpg?v=1713449408,Jezabel — Black Vegan Leather,$179.00,https://burjushoes.com/products/jezabel-black-vegan-leather-street-sole,Net lace-up,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Xiomara-black-mesh-ankle-bootie-1__56362_569ba94b-f51a-42c6-9448-ab6936c84dee.jpg?v=1776302499,Xiomara — Black Vegan Leather,$179.00,https://burjushoes.com/products/xiomara-black-vegan-leather-street-sole,Mesh panel,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierra-4.2-mesh-boot-black-1.jpg?v=1762283301,Sierra — Black Vegan Leather,$179.00,https://burjushoes.com/products/sierra-black-vegan-leather-street-sole,4.2 mesh,The Workhorse,The Statement
Hero Editorial,2026-09-19,10:00,Xiomara,Xiomara: mesh where it matters,The bootie built for people whose feet swell by hour three.,Free Shipping on All Orders Over $150 — US & Worldwide,Style Spotlight,"Xiomara,",Reconsidered.,4 inch · Mesh panel · Street or suede sole,"Feet swell. Most boots pretend otherwise. Xiomara puts mesh exactly where the foot widens, so hour six fits the way hour one did — and it does it without looking like a compromise.",Shop Xiomara,https://burjushoes.com/collections/ankle-boots,See all colourways,https://burjushoes.com/collections/ankle-boots,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Xiomara-black-mesh-ankle-bootie-1__56362_569ba94b-f51a-42c6-9448-ab6936c84dee.jpg?v=1776302499,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Xiomara-red-lace-up-ankle-boot-1_fe0fbab4-5dbb-472b-9fd0-aa401de24a0e.jpg?v=1716346242,Why It Holds Up,"The mesh panel sits over the metatarsal, the one place a rigid upper cuts in. Available on a street sole for the commute or a suede sole for the floor — same last, same fit, different grip.",The Colourways,03 styles,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Xiomara-black-mesh-ankle-bootie-1__56362_569ba94b-f51a-42c6-9448-ab6936c84dee.jpg?v=1776302499,Xiomara — Black Vegan Leather,$179.00,https://burjushoes.com/products/xiomara-black-vegan-leather-street-sole,Black Vegan Leather,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Xiomara-red-lace-up-ankle-boot-1_fe0fbab4-5dbb-472b-9fd0-aa401de24a0e.jpg?v=1716346242,Xiomara — Red Vegan Leather,$179.00,https://burjushoes.com/products/xiomara-red-vegan-leather-suede-sole-dance-floor-only,Red Vegan Leather,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Tempest-black-mesh-ankle-boot-1_aa807d46-d3b4-4a66-82d5-7abbdd74830a.jpg?v=1718130358,Tempest — Black Vegan Leather,$179.00,https://burjushoes.com/products/tempest-black-vegan-leather-street-sole,Black Vegan Leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Editorial,2026-09-21,10:00,Shabina Burgundy,"Shabina, now in burgundy",The stretch sock bootie in the colour the season turned on.,Free Shipping on All Orders Over $150 — US & Worldwide,New Colourway,"Shabina,",In Burgundy.,Lycra upper · Sock fit · Street sole,Shabina has always been the answer to a narrow heel and a wide forefoot — lycra goes where the foot goes. Burgundy is the colour every other brand ran out of in August. We didn't.,Shop Shabina,https://burjushoes.com/collections/trending-now-burgundy-beauty,See the burgundy edit,https://burjushoes.com/collections/trending-now-burgundy-beauty,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Shabina-red-lycra-ankle-bootie-1.jpg?v=1716813675,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/shabina_product_shot.jpg?v=1778081261,Why It Holds Up,"A lycra sock upper with no zip and no seam across the instep, so nothing digs when the foot flexes. It pulls on, it stays on, and it does not gape at the ankle the way a leather bootie will.",The Colourways,03 styles,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Shabina-red-lycra-ankle-bootie-1.jpg?v=1716813675,Shabina — Red Lycra,$179.00,https://burjushoes.com/products/shabina-red-lycra-street-sole,Red Lycra,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/shabina_product_shot.jpg?v=1778081261,Shabina — Dark Tan Lycra,$179.00,https://burjushoes.com/products/shabina-dark-tan-lycra-street-sole,Dark Tan Lycra,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Shabina-pink-stretch-sock-bootie-1.jpg?v=1716813677,Shabina — Hot Pink Lycra,$179.00,https://burjushoes.com/products/shabina-hot-pink-lycra-street-sole,Hot Pink Lycra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palette Block,2026-09-22,10:00,Rising Stars Teal,The colour nobody asked for,"Teal, and the two colours it sits between.",Rising Stars — The Colours Moving Fastest,Rising Stars,The Colour,Nobody Asked For.,Teal · Burgundy · Leopard,,See What's Rising,https://burjushoes.com/collections/fall-faves,Shop the Palette,https://burjushoes.com/collections/fall-faves,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Rizzo-gold-mesh-ankle-boot-1_86d47dd4-4544-489d-9bc7-ed21807a41a3.jpg?v=1714235667,,,,,,,,,,,,,"Teal | Two Styles | Requested by nobody, noticed by everybody. The month's quiet climber. | #2f7a7a","Burgundy | Two Styles | Still the volume colour, and still the one people photograph. | #590529","Leopard | Two Styles | Not a colour, strictly. Behaves like one on this list. | #b78c3c",https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Rizzo-gold-mesh-ankle-boot-1_86d47dd4-4544-489d-9bc7-ed21807a41a3.jpg?v=1714235667,Rizzo — Gold Leopard,$179.00,https://burjushoes.com/products/rizzo-gold-leopard-street-sole,Gold Leopard,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/sybil-leopard-classic-pump-1.jpg?v=1749155898,Sybil — Tan Leopard,$89.40,https://burjushoes.com/products/sybil-tan-leopard-street-sole,Tan Leopard,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Adira-classic-stiletto-pump-burgundy-1.jpg?v=1772138343,Adira — Burgundy Vegan Patent,$149.00,https://burjushoes.com/products/adira-burgundy-vegan-patent-street-sole,Burgundy Vegan Patent,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Starlette-peep-toe-heeled-sandal-burgundy-1_f836b3c9-c6a7-47e9-9b7b-a73f733be4b3.jpg?v=1753756636,Starlette — Burgundy Vegan Patent,$149.00,https://burjushoes.com/products/starlette-burgundy-vegan-patent-street-sole,Burgundy Vegan Patent,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/sybil-leopard-classic-pump-1.jpg?v=1749155898,Sybil — Tan Leopard,$89.40,https://burjushoes.com/products/sybil-tan-leopard-street-sole,Tan Leopard,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Rizzo-gold-mesh-ankle-boot-1_86d47dd4-4544-489d-9bc7-ed21807a41a3.jpg?v=1714235667,Rizzo — Gold Leopard,$179.00,https://burjushoes.com/products/rizzo-gold-leopard-street-sole,Gold Leopard,,,,,,,,,,,,,,,,,
Split Story,2026-09-23,10:00,Practice Heels,The pair you rehearse in,Practice shoes take more wear than performance shoes. Buy accordingly.,Free Shipping on All Orders Over $150 — US & Worldwide,The Guide,Rehearsal Wears,Harder.,,A performance pair goes out a handful of times a year. A practice pair goes out three times a week. Most people buy the wrong one first.,Shop Practice Styles,https://burjushoes.com/collections/beginner-friendly,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/shabina_product_shot.jpg?v=1778081261,,,,Built for Hours,04 styles,"Buy for hours, not occasions",Rehearsal is where the mileage happens. The pair you practise in should be the better-built one.,"Two soles, two lives",A suede sole on a studio floor lasts a season. On concrete it lasts a week. Keep them separate.,Replace before it fails,"When the sole stops gripping on a turn, that is the warning. Do not wait for the strap to go.",,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierralynn-black-suede-lace-up-bootie-1_e6990d06-3227-46ce-a7cd-4683fc2d71ff.jpg?v=1713711139,Sierralynn — Black Vegan Suede,$179.00,https://burjushoes.com/products/sierralynn-black-vegan-suede-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierralynn-red-lace-up-ankle-boot-1_6335fbe0-e602-4cfb-a38c-db659bd90cf7.jpg?v=1713711405,Sierralynn — Red Vegan Suede,$179.00,https://burjushoes.com/products/sierralynn-red-vegan-suede-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/shabina_product_shot.jpg?v=1778081261,Shabina — Dark Tan Lycra,$179.00,https://burjushoes.com/products/shabina-dark-tan-lycra-street-sole,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Jezabel-black-net-lace-up-bootie-1_d9328a33-7695-4d7e-b17c-ae8e43b196cb.jpg?v=1713449408,Jezabel — Black Vegan Leather,$179.00,https://burjushoes.com/products/jezabel-black-vegan-leather-street-sole,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category Lookbook,2026-09-24,10:00,Thigh Highs + Calf,Thigh highs that fit actual thighs,"Three calf widths, because one was never going to work.",Free Shipping on All Orders Over $150 — US & Worldwide,Size Inclusive,"Thigh Highs,",Three Widths.,,"A thigh high that only comes in one calf width is a thigh high for one leg shape. Devilla comes in three, which is why it is the only one we put our name on twice.",Shop Thigh Highs,https://burjushoes.com/collections/boots,,,,,,,Every Colourway,06 styles,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Devilla-round-toe-size-inclusive-thigh-high-burgundy-2-1.jpg?v=1763046208,Devilla Size Inclusive — Burgundy,$199.00,https://burjushoes.com/products/devilla-size-inclusive-burgundy-vegan-patent-street-sole-thigh-variant-two,"Calf width two, for a standard-to-full calf. The most-ordered of the three.",https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Devilla-round-toe-size-inclusive-thigh-high-burgundy-3-1.jpg?v=1763046431,Devilla Size Inclusive — Burgundy,$199.00,https://burjushoes.com/products/devilla-size-inclusive-burgundy-vegan-patent-street-sole-thigh-variant-three,"Calf width three, cut for a fuller calf without shortening the shaft.",https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Phoenix-stretch-thigh-high-boot-black-1__38277_4a696f7d-0875-45ce-ab67-066046c21448.jpg?v=1749155867,Phoenix — Black Metallic,$119.40,https://burjushoes.com/products/phoenix-black-metallic-street-sole,Stretch thigh high · Black metallic,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Khadija-black-vegan-pointed-toe-boot-1__39792.jpg?v=1749155843,Khadija — Black Vegan Suede,$107.40,https://burjushoes.com/products/khadija-black-vegan-suede,Pointed toe,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/sybil-black-patent-classic-pump-1__94923_ff1082f5-fcd0-4282-976a-050012aceb12.jpg?v=1749155897,Sybil — Black Vegan Leather,$89.40,https://burjushoes.com/products/sybil-black-vegan-leather-street-sole,Classic pump,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Adira-matte-black-pump-1__16973.jpg?v=1716813764,Adira — Black Vegan Leather,$149.00,https://burjushoes.com/products/adira-black-vegan-leather-street-sole,Classic pump,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/sybil-red-patent-classic-pump-1__51093.jpg?v=1749155898,Sybil — Red Vegan Leather,$89.40,https://burjushoes.com/products/sybil-red-vegan-leather-street-sole,Red patent,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/sybil-leopard-classic-pump-1.jpg?v=1749155898,Sybil — Tan Leopard,$89.40,https://burjushoes.com/products/sybil-tan-leopard-street-sole,Tan leopard,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/dafne-black-loafer-pump-1__89406_03201c37-b4c5-4eda-920f-eeb581944229.jpg?v=1710883521,Dafne — Black Vegan Leather,$95.40,https://burjushoes.com/products/dafne-black-vegan-leather-street-sole,Loafer pump,Width Two,Width Three
Hero Editorial,2026-09-25,10:00,Marley,Marley: the open toe that still holds,"Lace-up structure, open-toe ease — usually you pick one.",Free Shipping on All Orders Over $150 — US & Worldwide,Style Spotlight,Marley Holds,an Open Toe.,Lace-up · Open toe · Patent finish,"An open toe usually means the foot slides forward all night. Marley laces across the instep instead of gripping at the toe, which is the only way an open front stays put through a full evening.",Shop Marley,https://burjushoes.com/collections/ankle-boots,See all colourways,https://burjushoes.com/collections/ankle-boots,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Marley-open-toe-lace-up-ankle-boot-burgundy-1.jpg?v=1776302571,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Marley-open-toe-mesh-cut-out-ankle-boot-black-1.jpg?v=1776302571,Why It Holds Up,"The lacing runs from the throat to the ankle, so tension is spread rather than concentrated at one strap. Patent upper wipes clean, which matters more than it should on an open-toe style.",The Colourways,03 styles,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Marley-open-toe-lace-up-ankle-boot-burgundy-1.jpg?v=1776302571,Marley — Burgundy Vegan Patent,$179.00,https://burjushoes.com/products/marley-burgundy-vegan-patent-street-sole,Burgundy Vegan Patent,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Marley-open-toe-mesh-cut-out-ankle-boot-black-1.jpg?v=1776302571,Marley — Black Vegan Patent,$179.00,https://burjushoes.com/products/marley-black-vegan-patent-street-sole,Black Vegan Patent,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Amiri-harness-strap-open-toe-ankle-boot-burgundy-1.jpg?v=1773088470,Amiri — Burgundy Vegan Patent,$179.00,https://burjushoes.com/products/amiri-burgundy-vegan-patent-street-sole,Burgundy Vegan Patent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranked List,2026-09-26,10:00,Statement Stilettos,Six stilettos worth the walk to the car,A stiletto is a commitment. These six earn it.,Free Shipping on All Orders Over $150 — US & Worldwide,The Ranking,Worth the Walk,to the Car.,"Six stilettos, ranked by how long you last in them",,Shop Stilettos,https://burjushoes.com/collections/4-5-inch-heels,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Adira-classic-stiletto-pump-burgundy-1.jpg?v=1772138343,Adira — Burgundy Vegan Patent,$149.00,https://burjushoes.com/products/adira-burgundy-vegan-patent-street-sole,The classic pump in the season's colour. Nothing to explain.,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Starlette-peep-toe-heeled-sandal-burgundy-1_f836b3c9-c6a7-47e9-9b7b-a73f733be4b3.jpg?v=1753756636,Starlette — Burgundy Vegan Patent,$149.00,https://burjushoes.com/products/starlette-burgundy-vegan-patent-street-sole,Peep toe on a stiletto heel — rarer than it should be.,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/skylar-open-toe-strappy-heeled-sandal-burgundy-1.jpg?v=1769403825,Skylar — Burgundy Vegan Patent,$169.00,https://burjushoes.com/products/skylar-burgundy-vegan-patent-street-sole,"Strappy enough to hold, plain enough to wear twice a week.",https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Adira-matte-black-pump-1__16973.jpg?v=1716813764,Adira — Black Vegan Leather,$149.00,https://burjushoes.com/products/adira-black-vegan-leather-street-sole,The one you own before you own any of the others.,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Rene-strappy-open-toe-ankle-boot-burgundy-1.jpg?v=1769467218,Rene — Burgundy Vegan Patent,$159.00,https://burjushoes.com/products/rene-burgundy-vegan-patent-street-sole,"Open toe, ankle strap, and a heel that does not wobble.",https://cdn.shopify.com/s/files/1/0794/3074/6422/files/sybil-black-patent-classic-pump-1__94923_ff1082f5-fcd0-4282-976a-050012aceb12.jpg?v=1749155897,Sybil — Black Vegan Leather,$89.40,https://burjushoes.com/products/sybil-black-vegan-leather-street-sole,The lowest price on this list and the highest repeat rate.,,,,,,,,,,,,,,,,,
Category Lookbook,2026-09-28,10:00,Koda + Shabina,"Two boots, two completely different feet","Structured versus stretch — pick by foot, not by photo.",Free Shipping on All Orders Over $150 — US & Worldwide,Side by Side,Structured,or Stretch.,,These two get compared constantly and they should not be. One holds a narrow foot with structure; the other moves with a wide one. The right answer depends entirely on your foot.,Compare Both,https://burjushoes.com/collections/ankle-boots,,,,,,,Every Colourway,06 styles,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Koda-mesh-cut-out-ankle-boot-black-1.jpg?v=1776302552,Koda — Black Vegan Leather,$179.00,https://burjushoes.com/products/koda-black-vegan-leather-street-sole,Structured mesh cut-out. Holds a narrower foot without pressure at the instep.,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Shabina-black-sock-ankle-boot-1__51849_76fe3416-a3c9-43ef-9032-c5dc8260101a.jpg?v=1718130136,Shabina — Black Lycra,$179.00,https://burjushoes.com/products/shabina-black-lycra-street-sole,"Lycra sock upper. Moves with a wider forefoot; no zip, no seam, no gape.",https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Koda-mesh-cut-cout-ankle-boot-tan-1.jpg?v=1753802431,Koda — Truly Nude Shade Six,$179.00,https://burjushoes.com/products/koda-truly-nude-shade-six-street-sole,Truly Nude Six · Street sole,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Shabina-red-lycra-ankle-bootie-1.jpg?v=1716813675,Shabina — Red Lycra,$179.00,https://burjushoes.com/products/shabina-red-lycra-street-sole,Red lycra,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/shabina_product_shot.jpg?v=1778081261,Shabina — Dark Tan Lycra,$179.00,https://burjushoes.com/products/shabina-dark-tan-lycra-street-sole,Dark tan lycra,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Shabina-pink-stretch-sock-bootie-1.jpg?v=1716813677,Shabina — Hot Pink Lycra,$179.00,https://burjushoes.com/products/shabina-hot-pink-lycra-street-sole,Hot pink lycra,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Koda-mesh-cut-out-ankle-boot-black-1.jpg?v=1776302552,Koda — Black Vegan Leather,$179.00,https://burjushoes.com/products/koda-black-vegan-leather-street-sole,Black vegan leather,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Nyx-strappy-buckle-ankle-bootie-black-1.jpg?v=1776302623,Nyx — Black Vegan Leather,$179.00,https://burjushoes.com/products/nyx-black-vegan-leather-street-sole,Black vegan leather,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Cora-mesh-open-toe-ankle-bootie-black-1.jpg?v=1753801978,Cora — Black Vegan Leather,$179.00,https://burjushoes.com/products/cora-black-vegan-leather-street-sole,Mesh open toe,Structured,Stretch
Ranked List,2026-09-29,10:00,Fall Roundup,Everything September taught us,The month in six pairs.,Free Shipping on All Orders Over $150 — US & Worldwide,Month End,"September,",In Six Pairs.,"What moved, and what it says about the season",,Shop the Month,https://burjushoes.com/collections/fall-faves,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Marley-open-toe-lace-up-ankle-boot-burgundy-1.jpg?v=1776302571,Marley — Burgundy Vegan Patent,$179.00,https://burjushoes.com/products/marley-burgundy-vegan-patent-street-sole,Burgundy outsold black for the first time in four years.,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Koda-mesh-cut-cout-ankle-boot-tan-1.jpg?v=1753802431,Koda — Truly Nude Shade Six,$179.00,https://burjushoes.com/products/koda-truly-nude-shade-six-street-sole,Truly Nude shade six was the single fastest mover of the month.,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Sierra-4.2-mesh-boot-black-1.jpg?v=1762283301,Sierra — Black Vegan Leather,$179.00,https://burjushoes.com/products/sierra-black-vegan-leather-street-sole,Never off the list. Included here for completeness.,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Jett-open-toe-sporty-ankle-bootie-burgundy-1.jpg?v=1753801271,Jett — Burgundy Vegan Suede,$179.00,https://burjushoes.com/products/jett-burgundy-vegan-suede-street-sole,The new-arrival that behaved like an established style.,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/shabina_product_shot.jpg?v=1778081261,Shabina — Dark Tan Lycra,$179.00,https://burjushoes.com/products/shabina-dark-tan-lycra-street-sole,Proof that the dark tan lycra should have launched sooner.,https://cdn.shopify.com/s/files/1/0794/3074/6422/files/Devilla-round-toe-size-inclusive-thigh-high-burgundy-2-1.jpg?v=1763046208,Devilla Size Inclusive — Burgundy,$199.00,https://burjushoes.com/products/devilla-size-inclusive-burgundy-vegan-patent-street-sole-thigh-variant-two,"Size-inclusive thigh highs, and the month's biggest surprise.",,,,,,,,,,,,,,,,,
